"Add","Toevoegen"
"Allow Gift Messages for Order Items","Geschenk Berichten voor Bestellingartikelen toestaan"
"Allow Gift Messages on Order Level","Geschenk Berichten op bestelling niveau toestaan"
"An error occurred while saving the gift message.","Er is een fout opgetreden tijdens het opslaan van het geschenk boodschap."
"Are you sure?","Weet je het zeker?"
"Check this checkbox if you want to add gift messages to your items.","Vink deze checkbox aan indien u geschenk berichten wilt toevoegen aan uw artikelen."
"Check this checkbox if you want to add gift messages.","Vink deze checkbox aan indien u geschenk berichten toe wilt voegen."
"Do you have any gift items in your order?","Heeft u enkele geschenk-artikelen bij uw bestelling?"
"Edit","Aanpassen"
"Enter a gift message for each item in your order.","Vul een geschenk bericht voor elk artikel in uw bestelling in."
"Enter a gift message for entire order.","Vul een geschenk bericht voor de gehele bestelling in."
"Enter a gift message for this address.","Vul een geschenk bericht in voor dit adres."
"From","Van"
"Gift Messages","Geschenk Bericht"
"Item %d of %d","Item %d van %d"
"Message","Bericht"
"No","Nee"
"Save Gift Message","Sla Geschenk Bericht op"
"The gift message has been removed","Het geschenk bericht is verwijderd"
"The gift message has been saved","Het geschenk bericht is opgeslagen"
"The gift message has been saved.","Het geschenk bericht is opgeslagen."
"To","Naar"
"Unknown entity type","Onbekend entiteit type"
"Use config","Gebruik configuratie"
"Yes","Ja"
"You can leave this box blank if you do not wish to add a gift message for the item.","U kunt dit veld leeg laten als u geen geschenk bericht voor dit artikel toe wilt voegen."
"You can leave this box blank if you do not wish to add a gift message for this address.","U kunt dit veld leeg laten als u geen geschenk bericht voor dit adres toe wilt voegen."
"You can leave this box blank if you do not wish to add a gift message for whole order.","U kunt dit veld leeg laten als u geen geschenk bericht voor de gehele bestelling toe wilt voegen."
